Point ID,Idp,Mk,Points:0,Points:1,Points:2,Points:Magnitude,Rhop,Type,Vel:0,Vel:1,Vel:2,Vel:Magnitude
186,8032,1,0.03,0.27,0.15,0.310322,1001.42,3,0,0,0,0
187,8033,1,0.03,0.27,0.17,0.320468,1001.25,3,0,0,0,0
188,8034,1,0.03,0.27,0.19,0.331512,1001.07,3,0,0,0,0
189,8035,1,0.03,0.27,0.21,0.343366,1000.89,3,0,0,0,0
190,8036,1,0.03,0.27,0.23,0.355949,1000.71,3,0,0,0,0
191,8037,1,0.03,0.27,0.25,0.369188,1000.53,3,0,0,0,0
192,8038,1,0.03,0.27,0.27,0.383014,1000.36,3,0,0,0,0
193,8039,1,0.03,0.27,0.29,0.397366,1000.18,3,0,0,0,0
194,8040,1,0.03,0.27,0.31,0.412189,1000,3,0,0,0,0
195,8041,1,0.03,0.29,0.03,0.293087,1002.48,3,0,0,0,0
196,8042,1,0.03,0.29,0.05,0.295804,1002.31,3,0,0,0,0
197,8043,1,0.03,0.29,0.07,0.299833,1002.13,3,0,0,0,0
198,8044,1,0.03,0.29,0.09,0.305123,1001.95,3,0,0,0,0
199,8045,1,0.03,0.29,0.11,0.311609,1001.78,3,0,0,0,0
200,8046,1,0.03,0.29,0.13,0.319218,1001.6,3,0,0,0,0
201,8047,1,0.03,0.29,0.15,0.327872,1001.42,3,0,0,0,0
202,8048,1,0.03,0.29,0.17,0.337491,1001.25,3,0,0,0,0
203,8049,1,0.03,0.29,0.19,0.347994,1001.07,3,0,0,0,0
204,8050,1,0.03,0.29,0.21,0.359305,1000.89,3,0,0,0,0
205,8051,1,0.03,0.29,0.23,0.371349,1000.71,3,0,0,0,0
206,8052,1,0.03,0.29,0.25,0.384057,1000.53,3,0,0,0,0
207,8053,1,0.03,0.29,0.27,0.397366,1000.36,3,0,0,0,0
208,8054,1,0.03,0.29,0.29,0.411218,1000.18,3,0,0,0,0
209,8055,1,0.03,0.29,0.31,0.425558,1000,3,0,0,0,0
210,8056,1,0.03,0.31,0.03,0.31289,1002.48,3,0,0,0,0
211,8057,1,0.03,0.31,0.05,0.315436,1002.31,3,0,0,0,0
