Point ID,Idp,Mk,Points:0,Points:1,Points:2,Points:Magnitude,Rhop,Type,Vel:0,Vel:1,Vel:2,Vel:Magnitude
308,308,10,0.001,0.052,0.171,0.178734,1000,0,0,0,0,0
309,309,10,0.001,0.052,0.1795,0.186883,1000,0,0,0,0,0
310,310,10,0.001,0.052,0.188,0.195062,1000,0,0,0,0,0
311,311,10,0.001,0.052,0.1965,0.203266,1000,0,0,0,0,0
312,312,10,0.001,0.052,0.205,0.211495,1000,0,0,0,0,0
313,313,10,0.001,0.052,0.2135,0.219744,1000,0,0,0,0,0
314,314,10,0.001,0.052,0.222,0.228011,1000,0,0,0,0,0
315,315,10,0.001,0.052,0.2305,0.236295,1000,0,0,0,0,0
316,316,10,0.001,0.052,0.239,0.244594,1000,0,0,0,0,0
317,317,10,0.001,0.052,0.2475,0.252906,1000,0,0,0,0,0
318,318,10,0.001,0.052,0.256,0.26123,1000,0,0,0,0,0
319,319,10,0.001,0.052,0.2645,0.269565,1000,0,0,0,0,0
320,320,10,0.001,0.052,0.273,0.27791,1000,0,0,0,0,0
321,321,10,0.001,0.052,0.2815,0.286264,1000,0,0,0,0,0
322,322,10,0.001,0.052,0.29,0.294627,1000,0,0,0,0,0
323,323,10,0.001,0.052,0.2985,0.302997,1000,0,0,0,0,0
324,324,10,0.001,0.052,0.307,0.311374,1000,0,0,0,0,0
325,325,10,0.001,0.052,0.3155,0.319758,1000,0,0,0,0,0
326,326,10,0.001,0.052,0.324,0.328148,1000,0,0,0,0,0
327,327,10,0.001,0.052,0.3325,0.336543,1000,0,0,0,0,0
328,328,10,0.001,0.052,0.341,0.344943,1000,0,0,0,0,0
329,329,10,0.001,0.052,0.3495,0.353349,1000,0,0,0,0,0
330,330,10,0.001,0.052,0.358,0.361758,1000,0,0,0,0,0
331,331,10,0.001,0.052,0.3665,0.370172,1000,0,0,0,0,0
332,332,10,0.001,0.052,0.375,0.378589,1000,0,0,0,0,0
333,333,10,0.001,0.052,0.3835,0.387011,1000,0,0,0,0,0
334,334,10,0.001,0.052,0.392,0.395435,1000,0,0,0,0,0
335,335,10,0.001,0.052,0.4005,0.403863,1000,0,0,0,0,0
336,336,10,0.001,0.0605,0.001,0.0605165,1000,0,0,0,0,0
337,337,10,0.001,0.0605,0.0095,0.0612495,1000,0,0,0,0,0
338,338,10,0.001,0.0605,0.018,0.0631288,1000,0,0,0,0,0
339,339,10,0.001,0.0605,0.0265,0.0660568,1000,0,0,0,0,0
340,340,10,0.001,0.0605,0.035,0.0699017,1000,0,0,0,0,0
341,341,10,0.001,0.0605,0.0435,0.0745218,1000,0,0,0,0,0
342,342,10,0.001,0.0605,0.052,0.0797825,1000,0,0,0,0,0
343,343,10,0.001,0.0605,0.0605,0.0855658,1000,0,0,0,0,0
344,344,10,0.001,0.0605,0.069,0.0917728,1000,0,0,0,0,0
345,345,10,0.001,0.0605,0.0775,0.0983234,1000,0,0,0,0,0
346,346,10,0.001,0.0605,0.086,0.105153,1000,0,0,0,0,0
347,347,10,0.001,0.0605,0.0945,0.112212,1000,0,0,0,0,0
348,348,10,0.001,0.0605,0.103,0.119458,1000,0,0,0,0,0
349,349,10,0.001,0.0605,0.1115,0.12686,1000,0,0,0,0,0
350,350,10,0.001,0.0605,0.12,0.134392,1000,0,0,0,0,0
351,351,10,0.001,0.0605,0.1285,0.142033,1000,0,0,0,0,0
352,352,10,0.001,0.0605,0.137,0.149767,1000,0,0,0,0,0
353,353,10,0.001,0.0605,0.1455,0.15758,1000,0,0,0,0,0
354,354,10,0.001,0.0605,0.154,0.165461,1000,0,0,0,0,0
355,355,10,0.001,0.0605,0.1625,0.1734,1000,0,0,0,0,0
356,356,10,0.001,0.0605,0.171,0.18139,1000,0,0,0,0,0
357,357,10,0.001,0.0605,0.1795,0.189424,1000,0,0,0,0,0
358,358,10,0.001,0.0605,0.188,0.197497,1000,0,0,0,0,0
359,359,10,0.001,0.0605,0.1965,0.205605,1000,0,0,0,0,0
360,360,10,0.001,0.0605,0.205,0.213743,1000,0,0,0,0,0
361,361,10,0.001,0.0605,0.2135,0.221909,1000,0,0,0,0,0
362,362,10,0.001,0.0605,0.222,0.230098,1000,0,0,0,0,0
363,363,10,0.001,0.0605,0.2305,0.23831,1000,0,0,0,0,0
364,364,10,0.001,0.0605,0.239,0.246541,1000,0,0,0,0,0
365,365,10,0.001,0.0605,0.2475,0.254789,1000,0,0,0,0,0
366,366,10,0.001,0.0605,0.256,0.263054,1000,0,0,0,0,0
367,367,10,0.001,0.0605,0.2645,0.271333,1000,0,0,0,0,0
