"Idp","Vel:0","Vel:1","Vel:2","Rhop","Points:0","Points:1","Points:2"
881,0,0,0,1001.1,0.26,0,0.28
882,0,0,0,1001,0.26,0,0.3
883,0,0,0,1000.9,0.26,0,0.32
884,0,0,0,1000.8,0.26,0,0.34
885,0,0,0,1000.7,0.26,0,0.36
886,0,0,0,1000.5,0.26,0,0.38
887,0,0,0,1000.4,0.26,0,0.4
888,0,0,0,1000.3,0.26,0,0.42
889,0,0,0,1000.2,0.26,0,0.44
890,0,0,0,1000.1,0.26,0,0.46
891,0,0,0,1000,0.26,0,0.48
892,0,0,0,1002.5,0.28,0,0.02
893,0,0,0,1002.4,0.28,0,0.04
894,0,0,0,1002.3,0.28,0,0.06
895,0,0,0,1002.2,0.28,0,0.08
896,0,0,0,1002.1,0.28,0,0.1
897,0,0,0,1001.9,0.28,0,0.12
898,0,0,0,1001.8,0.28,0,0.14
899,0,0,0,1001.7,0.28,0,0.16
900,0,0,0,1001.6,0.28,0,0.18
901,0,0,0,1001.5,0.28,0,0.2
902,0,0,0,1001.4,0.28,0,0.22
903,0,0,0,1001.3,0.28,0,0.24
904,0,0,0,1001.2,0.28,0,0.26
905,0,0,0,1001.1,0.28,0,0.28
906,0,0,0,1001,0.28,0,0.3
907,0,0,0,1000.9,0.28,0,0.32
908,0,0,0,1000.8,0.28,0,0.34
909,0,0,0,1000.7,0.28,0,0.36
910,0,0,0,1000.5,0.28,0,0.38
911,0,0,0,1000.4,0.28,0,0.4
912,0,0,0,1000.3,0.28,0,0.42
913,0,0,0,1000.2,0.28,0,0.44
914,0,0,0,1000.1,0.28,0,0.46
915,0,0,0,1000,0.28,0,0.48
916,0,0,0,1002.5,0.3,0,0.02
917,0,0,0,1002.4,0.3,0,0.04
918,0,0,0,1002.3,0.3,0,0.06
919,0,0,0,1002.2,0.3,0,0.08
920,0,0,0,1002.1,0.3,0,0.1
921,0,0,0,1001.9,0.3,0,0.12
922,0,0,0,1001.8,0.3,0,0.14
923,0,0,0,1001.7,0.3,0,0.16
924,0,0,0,1001.6,0.3,0,0.18
925,0,0,0,1001.5,0.3,0,0.2
926,0,0,0,1001.4,0.3,0,0.22
927,0,0,0,1001.3,0.3,0,0.24
928,0,0,0,1001.2,0.3,0,0.26
929,0,0,0,1001.1,0.3,0,0.28
930,0,0,0,1001,0.3,0,0.3
931,0,0,0,1000.9,0.3,0,0.32
932,0,0,0,1000.8,0.3,0,0.34
933,0,0,0,1000.7,0.3,0,0.36
934,0,0,0,1000.5,0.3,0,0.38
935,0,0,0,1000.4,0.3,0,0.4
936,0,0,0,1000.3,0.3,0,0.42
937,0,0,0,1000.2,0.3,0,0.44
938,0,0,0,1000.1,0.3,0,0.46
939,0,0,0,1000,0.3,0,0.48
940,0,0,0,1002.5,0.32,0,0.02
941,0,0,0,1002.4,0.32,0,0.04
942,0,0,0,1002.3,0.32,0,0.06
943,0,0,0,1002.2,0.32,0,0.08
944,0,0,0,1002.1,0.32,0,0.1
945,0,0,0,1001.9,0.32,0,0.12
946,0,0,0,1001.8,0.32,0,0.14
947,0,0,0,1001.7,0.32,0,0.16
948,0,0,0,1001.6,0.32,0,0.18
949,0,0,0,1001.5,0.32,0,0.2
950,0,0,0,1001.4,0.32,0,0.22
951,0,0,0,1001.3,0.32,0,0.24
952,0,0,0,1001.2,0.32,0,0.26
953,0,0,0,1001.1,0.32,0,0.28
954,0,0,0,1001,0.32,0,0.3
955,0,0,0,1000.9,0.32,0,0.32
956,0,0,0,1000.8,0.32,0,0.34
957,0,0,0,1000.7,0.32,0,0.36
958,0,0,0,1000.5,0.32,0,0.38
959,0,0,0,1000.4,0.32,0,0.4
960,0,0,0,1000.3,0.32,0,0.42
961,0,0,0,1000.2,0.32,0,0.44
962,0,0,0,1000.1,0.32,0,0.46
963,0,0,0,1000,0.32,0,0.48
964,0,0,0,1002.5,0.34,0,0.02
965,0,0,0,1002.4,0.34,0,0.04
966,0,0,0,1002.3,0.34,0,0.06
967,0,0,0,1002.2,0.34,0,0.08
968,0,0,0,1002.1,0.34,0,0.1
969,0,0,0,1001.9,0.34,0,0.12
970,0,0,0,1001.8,0.34,0,0.14
971,0,0,0,1001.7,0.34,0,0.16
972,0,0,0,1001.6,0.34,0,0.18
973,0,0,0,1001.5,0.34,0,0.2
974,0,0,0,1001.4,0.34,0,0.22
975,0,0,0,1001.3,0.34,0,0.24
976,0,0,0,1001.2,0.34,0,0.26
977,0,0,0,1001.1,0.34,0,0.28
978,0,0,0,1001,0.34,0,0.3
979,0,0,0,1000.9,0.34,0,0.32
980,0,0,0,1000.8,0.34,0,0.34
981,0,0,0,1000.7,0.34,0,0.36
982,0,0,0,1000.5,0.34,0,0.38
983,0,0,0,1000.4,0.34,0,0.4
984,0,0,0,1000.3,0.34,0,0.42
985,0,0,0,1000.2,0.34,0,0.44
986,0,0,0,1000.1,0.34,0,0.46
987,0,0,0,1000,0.34,0,0.48
988,0,0,0,1002.5,0.36,0,0.02
989,0,0,0,1002.4,0.36,0,0.04
990,0,0,0,1002.3,0.36,0,0.06
991,0,0,0,1002.2,0.36,0,0.08
992,0,0,0,1002.1,0.36,0,0.1
993,0,0,0,1001.9,0.36,0,0.12
994,0,0,0,1001.8,0.36,0,0.14
995,0,0,0,1001.7,0.36,0,0.16
996,0,0,0,1001.6,0.36,0,0.18
997,0,0,0,1001.5,0.36,0,0.2
998,0,0,0,1001.4,0.36,0,0.22
999,0,0,0,1001.3,0.36,0,0.24
1000,0,0,0,1001.2,0.36,0,0.26
