"Point ID", "Idp", "Mk", "Normal:0","Normal:1","Normal:2", "Normal_Magnitude", "NormalSize","Points:0","Points:1","Points:2", "Points_Magnitude"
221,221,10,0,0,0.02,0.02,0.02,0.72,0,0,0.72
222,222,10,0,0,0.1,0.1,0.1,0.74,0,-0.04,0.74108
223,223,10,0,0,0.06,0.06,0.06,0.74,0,-0.02,0.74027
224,224,10,0,0,0.02,0.02,0.02,0.74,0,0,0.74
225,225,10,0,0,0.1,0.1,0.1,0.76,0,-0.04,0.761052
226,226,10,0,0,0.06,0.06,0.06,0.76,0,-0.02,0.760263
227,227,10,0,0,0.02,0.02,0.02,0.76,0,0,0.76
228,228,10,0,0,0.1,0.1,0.1,0.78,0,-0.04,0.781025
229,229,10,0,0,0.06,0.06,0.06,0.78,0,-0.02,0.780256
230,230,10,0,0,0.02,0.02,0.02,0.78,0,0,0.78
231,231,10,0,0,0.1,0.1,0.1,0.8,0,-0.04,0.800999
232,232,10,0,0,0.06,0.06,0.06,0.8,0,-0.02,0.80025
233,233,10,0,0,0.02,0.02,0.02,0.8,0,0,0.8
234,234,10,0,0,0.1,0.1,0.1,0.82,0,-0.04,0.820975
235,235,10,0,0,0.06,0.06,0.06,0.82,0,-0.02,0.820244
236,236,10,0,0,0.02,0.02,0.02,0.82,0,0,0.82
237,237,10,0,0,0.1,0.1,0.1,0.84,0,-0.04,0.840952
238,238,10,0,0,0.06,0.06,0.06,0.84,0,-0.02,0.840238
239,239,10,0,0,0.02,0.02,0.02,0.84,0,0,0.84
240,240,10,-0.0400001,0,0.1,0.107703,0.107703,0.86,0,-0.04,0.86093
241,241,10,-0.0400001,0,0.06,0.0721111,0.0721111,0.86,0,-0.02,0.860233
242,242,10,-0.03,0,0.03,0.0424264,0.0424264,0.86,0,0,0.86
243,243,10,-0.01,0,0.01,0.0141422,0.0141422,0.86,0,0.02,0.860233
244,244,10,-0.07,0,0.07,0.098995,0.098995,0.88,0,-0.02,0.880227
245,245,10,-0.05,0,0.05,0.0707107,0.0707107,0.88,0,0,0.88
246,246,10,-0.03,0,0.03,0.0424264,0.0424264,0.88,0,0.02,0.880227
247,247,10,-0.01,0,0.01,0.0141422,0.0141422,0.88,0,0.04,0.880909
248,248,10,-0.07,0,0.07,0.098995,0.098995,0.9,0,0,0.9
249,249,10,-0.05,0,0.05,0.0707107,0.0707107,0.9,0,0.02,0.900222
250,250,10,-0.03,0,0.03,0.0424264,0.0424264,0.9,0,0.04,0.900888
