"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
198,0,0,0,1000,0,0,0,0,0,0.08,0,1.84
199,0,0,0,1000,0,0,0,0,0,0.08,0,1.88
200,0,0,0,1000,0,0,0,0,0,0.08,0,1.92
49,0,0,0,1000,0,0,0,0,0,0,0,1.96
50,0,0,0,1000,0,0,0,0,0,0,0,2
125,0,0,0,1000,0,0,0,0,0,0.04,0,1.96
126,0,0,0,1000,0,0,0,0,0,0.04,0,2
201,0,0,0,1000,0,0,0,0,0,0.08,0,1.96
202,0,0,0,1000,0,0,0,0,0,0.08,0,2
51,0,0,0,1000,0,0,0,0,0,0,0,2.04
52,0,0,0,1000,0,0,0,0,0,0,0,2.08
53,0,0,0,1000,0,0,0,0,0,0,0,2.12
127,0,0,0,1000,0,0,0,0,0,0.04,0,2.04
128,0,0,0,1000,0,0,0,0,0,0.04,0,2.08
129,0,0,0,1000,0,0,0,0,0,0.04,0,2.12
203,0,0,0,1000,0,0,0,0,0,0.08,0,2.04
204,0,0,0,1000,0,0,0,0,0,0.08,0,2.08
205,0,0,0,1000,0,0,0,0,0,0.08,0,2.12
54,0,0,0,1000,0,0,0,0,0,0,0,2.16
55,0,0,0,1000,0,0,0,0,0,0,0,2.2
56,0,0,0,1000,0,0,0,0,0,0,0,2.24
57,0,0,0,1000,0,0,0,0,0,0,0,2.28
58,0,0,0,1000,0,0,0,0,0,0,0,2.32
59,0,0,0,1000,0,0,0,0,0,0,0,2.36
60,0,0,0,1000,0,0,0,0,0,0,0,2.4
61,0,0,0,1000,0,0,0,0,0,0,0,2.44
62,0,0,0,1000,0,0,0,0,0,0,0,2.48
63,0,0,0,1000,0,0,0,0,0,0,0,2.52
64,0,0,0,1000,0,0,0,0,0,0,0,2.56
65,0,0,0,1000,0,0,0,0,0,0,0,2.6
66,0,0,0,1000,0,0,0,0,0,0,0,2.64
67,0,0,0,1000,0,0,0,0,0,0,0,2.68
68,0,0,0,1000,0,0,0,0,0,0,0,2.72
69,0,0,0,1000,0,0,0,0,0,0,0,2.76
