"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Type","Mk","Points:0","Points:1","Points:2"
266,0,0,0,1000,0.4,0,0,10,2.32,0,0
267,0,0,0,1000,0.4,0,0,10,2.34,0,0
268,0,0,0,1000,0.4,0,0,10,2.36,0,0
269,0,0,0,1000,0.4,0,0,10,2.38,0,0
270,0,0,0,1000,0.4,0,0,10,2.4,0,0
271,0,0,0,1000,0.4,0,0,10,2.42,0,0
272,0,0,0,1000,0.4,0,0,10,2.44,0,0
273,0,0,0,1000,0.4,0,0,10,2.46,0,0
274,0,0,0,1000,0.4,0,0,10,2.48,0,0
275,0,0,0,1000,0.4,0,0,10,2.5,0,0
276,0,0,0,1000,0.4,0,0,10,2.52,0,0
277,0,0,0,1000,0.4,0,0,10,2.54,0,0
278,0,0,0,1000,0.4,0,0,10,2.56,0,0
279,0,0,0,1000,0.4,0,0,10,2.58,0,0
280,0,0,0,1000,0.4,0,0,10,2.6,0,0
281,0,0,0,1000,0.4,0,0,10,2.62,0,0
282,0,0,0,1000,0.4,0,0,10,2.64,0,0
283,0,0,0,1000,0.4,0,0,10,2.66,0,0
284,0,0,0,1000,0.4,0,0,10,2.68,0,0
285,0,0,0,1000,0.4,0,0,10,2.7,0,0
286,0,0,0,1000,0.4,0,0,10,2.72,0,0
287,0,0,0,1000,0.4,0,0,10,2.74,0,0
288,0,0,0,1000,0.4,0,0,10,2.76,0,0
289,0,0,0,1000,0.4,0,0,10,2.78,0,0
290,0,0,0,1000,0.4,0,0,10,2.8,0,0
291,0,0,0,1000,0.4,0,0,10,2.82,0,0
292,0,0,0,1000,0.4,0,0,10,2.84,0,0
293,0,0,0,1000,0.4,0,0,10,2.86,0,0
294,0,0,0,1000,0.4,0,0,10,2.88,0,0
295,0,0,0,1000,0.4,0,0,10,2.9,0,0
296,0,0,0,1000,0.4,0,0,10,2.92,0,0
297,0,0,0,1000,0.4,0,0,10,2.94,0,0
298,0,0,0,1000,0.4,0,0,10,2.96,0,0
299,0,0,0,1000,0.4,0,0,10,2.98,0,0
300,0,0,0,1000,0.4,0,0,10,3,0,0
301,0,0,0,1000,0.4,0,0,10,3.02,0,0
302,0,0,0,1000,0.4,0,0,10,3.04,0,0
303,0,0,0,1000,0.4,0,0,10,3.06,0,0
304,0,0,0,1000,0.4,0,0,10,3.08,0,0
305,0,0,0,1000,0.4,0,0,10,3.1,0,0
306,0,0,0,1000,0.4,0,0,10,3.12,0,0
307,0,0,0,1000,0.4,0,0,10,3.14,0,0
308,0,0,0,1000,0.4,0,0,10,3.16,0,0
309,0,0,0,1000,0.4,0,0,10,3.18,0,0
310,0,0,0,1000,0.4,0,0,10,3.2,0,0
311,0,0,0,1000,0.4,0,0,10,3.22,0,0
312,0,0,0,1000,0.4,0,0,10,3.24,0,0
313,0,0,0,1000,0.4,0,0,10,3.26,0,0
314,0,0,0,1000,0.4,0,0,10,3.28,0,0
315,0,0,0,1000,0.4,0,0,10,3.3,0,0
316,0,0,0,1000,0.4,0,0,10,3.32,0,0
317,0,0,0,1000,0.4,0,0,10,3.34,0,0
318,0,0,0,1000,0.4,0,0,10,3.36,0,0
319,0,0,0,1000,0.4,0,0,10,3.38,0,0
320,0,0,0,1000,0.4,0,0,10,3.4,0,0
321,0,0,0,1000,0.4,0,0,10,3.42,0,0
322,0,0,0,1000,0.4,0,0,10,3.44,0,0
323,0,0,0,1000,0.4,0,0,10,3.46,0,0
324,0,0,0,1000,0.4,0,0,10,3.48,0,0
325,0,0,0,1000,0.4,0,0,10,3.5,0,0
326,0,0,0,1000,0.4,0,0,10,3.52,0,0
327,0,0,0,1000,0.4,0,0,10,3.54,0,0
328,0,0,0,1000,0.4,0,0,10,3.56,0,0
329,0,0,0,1000,0.4,0,0,10,3.58,0,0
330,0,0,0,1000,0.4,0,0,10,3.6,0,0
331,0,0,0,1000,0.4,0,0,10,3.62,0,0
332,0,0,0,1000,0.4,0,0,10,3.64,0,0
333,0,0,0,1000,0.4,0,0,10,3.66,0,0
334,0,0,0,1000,0.4,0,0,10,3.68,0,0
335,0,0,0,1000,0.4,0,0,10,3.7,0,0
336,0,0,0,1000,0.4,0,0,10,3.72,0,0
337,0,0,0,1000,0.4,0,0,10,3.74,0,0
338,0,0,0,1000,0.4,0,0,10,3.76,0,0
339,0,0,0,1000,0.4,0,0,10,3.78,0,0
340,0,0,0,1000,0.4,0,0,10,3.8,0,0
341,0,0,0,1000,0.4,0,0,10,3.82,0,0
342,0,0,0,1000,0.4,0,0,10,3.84,0,0
343,0,0,0,1000,0.4,0,0,10,3.86,0,0
344,0,0,0,1000,0.4,0,0,10,3.88,0,0
345,0,0,0,1000,0.4,0,0,10,3.9,0,0
346,0,0,0,1000,0.4,0,0,10,3.92,0,0
347,0,0,0,1000,0.4,0,0,10,3.94,0,0
348,0,0,0,1000,0.4,0,0,10,3.96,0,0
349,0,0,0,1000,0.4,0,0,10,3.98,0,0
350,0,0,0,1000,0.4,0,0,10,4,0,0
351,0,0,0,1000,0.4,0,0,10,4,0,0.02
352,0,0,0,1000,0.4,0,0,10,4,0,0.04
353,0,0,0,1000,0.4,0,0,10,4,0,0.06
354,0,0,0,1000,0.4,0,0,10,4,0,0.08
355,0,0,0,1000,0.4,0,0,10,4,0,0.1
356,0,0,0,1000,0.4,0,0,10,4,0,0.12
357,0,0,0,1000,0.4,0,0,10,4,0,0.14
358,0,0,0,1000,0.4,0,0,10,4,0,0.16
359,0,0,0,1000,0.4,0,0,10,4,0,0.18
360,0,0,0,1000,0.4,0,0,10,4,0,0.2
361,0,0,0,1000,0.4,0,0,10,4,0,0.22
362,0,0,0,1000,0.4,0,0,10,4,0,0.24
363,0,0,0,1000,0.4,0,0,10,4,0,0.26
364,0,0,0,1000,0.4,0,0,10,4,0,0.28
365,0,0,0,1000,0.4,0,0,10,4,0,0.3
366,0,0,0,1000,0.4,0,0,10,4,0,0.32
367,0,0,0,1000,0.4,0,0,10,4,0,0.34
368,0,0,0,1000,0.4,0,0,10,4,0,0.36
369,0,0,0,1000,0.4,0,0,10,4,0,0.38
370,0,0,0,1000,0.4,0,0,10,4,0,0.4
371,0,0,0,1000,0.4,0,0,10,4,0,0.42
372,0,0,0,1000,0.4,0,0,10,4,0,0.44
373,0,0,0,1000,0.4,0,0,10,4,0,0.46
374,0,0,0,1000,0.4,0,0,10,4,0,0.48
375,0,0,0,1000,0.4,0,0,10,4,0,0.5
376,0,0,0,1000,0.4,0,0,10,4,0,0.52
377,0,0,0,1000,0.4,0,0,10,4,0,0.54
378,0,0,0,1000,0.4,0,0,10,4,0,0.56
379,0,0,0,1000,0.4,0,0,10,4,0,0.58
380,0,0,0,1000,0.4,0,0,10,4,0,0.6
381,0,0,0,1000,0.4,0,0,10,4,0,0.62
382,0,0,0,1000,0.4,0,0,10,4,0,0.64
383,0,0,0,1000,0.4,0,0,10,4,0,0.66
384,0,0,0,1000,0.4,0,0,10,4,0,0.68
385,0,0,0,1000,0.4,0,0,10,4,0,0.7
386,0,0,0,1000,0.4,0,0,10,4,0,0.72
387,0,0,0,1000,0.4,0,0,10,4,0,0.74
388,0,0,0,1000,0.4,0,0,10,4,0,0.76
389,0,0,0,1000,0.4,0,0,10,4,0,0.78
390,0,0,0,1000,0.4,0,0,10,4,0,0.8
391,0,0,0,1000,0.4,0,0,10,4,0,0.82
392,0,0,0,1000,0.4,0,0,10,4,0,0.84
393,0,0,0,1000,0.4,0,0,10,4,0,0.86
394,0,0,0,1000,0.4,0,0,10,4,0,0.88
395,0,0,0,1000,0.4,0,0,10,4,0,0.9
396,0,0,0,1000,0.4,0,0,10,4,0,0.92
397,0,0,0,1000,0.4,0,0,10,4,0,0.94
398,0,0,0,1000,0.4,0,0,10,4,0,0.96
399,0,0,0,1000,0.4,0,0,10,4,0,0.98
400,0,0,0,1000,0.4,0,0,10,4,0,1
401,0,0,0,1000,0.4,0,0,10,4,0,1.02
402,0,0,0,1000,0.4,0,0,10,4,0,1.04
403,0,0,0,1000,0.4,0,0,10,4,0,1.06
404,0,0,0,1000,0.4,0,0,10,4,0,1.08
405,0,0,0,1000,0.4,0,0,10,4,0,1.1
406,0,0,0,1000,0.4,0,0,10,4,0,1.12
407,0,0,0,1000,0.4,0,0,10,4,0,1.14
408,0,0,0,1000,0.4,0,0,10,4,0,1.16
409,0,0,0,1000,0.4,0,0,10,4,0,1.18
410,0,0,0,1000,0.4,0,0,10,4,0,1.2
411,0,0,0,1000,0.4,0,0,10,4,0,1.22
