"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Type","Points:0","Points:1","Points:2"
60,0,0,0,1000,0,0,-0.02,0,0.4
61,0,0,0,1000,0,0,-0.02,0,0.42
96,0,0,0,1000,0,0,0,0,0.36
97,0,0,0,1000,0,0,0,0,0.38
98,0,0,0,1000,0,0,0,0,0.4
99,0,0,0,1000,0,0,0,0,0.42
486,0,0,0,1000,0,0,2.2,0,0.36
487,0,0,0,1000,0,0,2.2,0,0.38
488,0,0,0,1000,0,0,2.2,0,0.4
489,0,0,0,1000,0,0,2.2,0,0.42
524,0,0,0,1000,0,0,2.22,0,0.36
525,0,0,0,1000,0,0,2.22,0,0.38
526,0,0,0,1000,0,0,2.22,0,0.4
527,0,0,0,1000,0,0,2.22,0,0.42
562,0,0,0,1000,0,0,2.24,0,0.36
563,0,0,0,1000,0,0,2.24,0,0.38
564,0,0,0,1000,0,0,2.24,0,0.4
565,0,0,0,1000,0,0,2.24,0,0.42
24,0,0,0,1000,0,0,-0.04,0,0.44
25,0,0,0,1000,0,0,-0.04,0,0.46
26,0,0,0,1000,0,0,-0.04,0,0.48
27,0,0,0,1000,0,0,-0.04,0,0.5
62,0,0,0,1000,0,0,-0.02,0,0.44
63,0,0,0,1000,0,0,-0.02,0,0.46
64,0,0,0,1000,0,0,-0.02,0,0.48
65,0,0,0,1000,0,0,-0.02,0,0.5
100,0,0,0,1000,0,0,0,0,0.44
101,0,0,0,1000,0,0,0,0,0.46
102,0,0,0,1000,0,0,0,0,0.48
103,0,0,0,1000,0,0,0,0,0.5
490,0,0,0,1000,0,0,2.2,0,0.44
491,0,0,0,1000,0,0,2.2,0,0.46
492,0,0,0,1000,0,0,2.2,0,0.48
493,0,0,0,1000,0,0,2.2,0,0.5
528,0,0,0,1000,0,0,2.22,0,0.44
529,0,0,0,1000,0,0,2.22,0,0.46
530,0,0,0,1000,0,0,2.22,0,0.48
531,0,0,0,1000,0,0,2.22,0,0.5
566,0,0,0,1000,0,0,2.24,0,0.44
567,0,0,0,1000,0,0,2.24,0,0.46
568,0,0,0,1000,0,0,2.24,0,0.48
569,0,0,0,1000,0,0,2.24,0,0.5
28,0,0,0,1000,0,0,-0.04,0,0.52
29,0,0,0,1000,0,0,-0.04,0,0.54
30,0,0,0,1000,0,0,-0.04,0,0.56
31,0,0,0,1000,0,0,-0.04,0,0.58
66,0,0,0,1000,0,0,-0.02,0,0.52
67,0,0,0,1000,0,0,-0.02,0,0.54
68,0,0,0,1000,0,0,-0.02,0,0.56
69,0,0,0,1000,0,0,-0.02,0,0.58
104,0,0,0,1000,0,0,0,0,0.52
105,0,0,0,1000,0,0,0,0,0.54
106,0,0,0,1000,0,0,0,0,0.56
107,0,0,0,1000,0,0,0,0,0.58
494,0,0,0,1000,0,0,2.2,0,0.52
495,0,0,0,1000,0,0,2.2,0,0.54
496,0,0,0,1000,0,0,2.2,0,0.56
497,0,0,0,1000,0,0,2.2,0,0.58
532,0,0,0,1000,0,0,2.22,0,0.52
533,0,0,0,1000,0,0,2.22,0,0.54
534,0,0,0,1000,0,0,2.22,0,0.56
535,0,0,0,1000,0,0,2.22,0,0.58
570,0,0,0,1000,0,0,2.24,0,0.52
571,0,0,0,1000,0,0,2.24,0,0.54
572,0,0,0,1000,0,0,2.24,0,0.56
573,0,0,0,1000,0,0,2.24,0,0.58
32,0,0,0,1000,0,0,-0.04,0,0.6
33,0,0,0,1000,0,0,-0.04,0,0.62
34,0,0,0,1000,0,0,-0.04,0,0.64
35,0,0,0,1000,0,0,-0.04,0,0.66
36,0,0,0,1000,0,0,-0.04,0,0.68
37,0,0,0,1000,0,0,-0.04,0,0.7
70,0,0,0,1000,0,0,-0.02,0,0.6
71,0,0,0,1000,0,0,-0.02,0,0.62
