"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
1803,0,0,0,1002.2,16088,0,0,0,3,1,0,0.36
1804,0,0,0,1002.1,15696,0,0,0,3,1,0,0.4
1805,0,0,0,1002.1,15303,0,0,0,3,1,0,0.44
750,0,0,0,1002,14911,0,0,0,3,0.12,0,0.48
751,0,0,0,1002,14519,0,0,0,3,0.12,0,0.52
752,0,0,0,1001.9,14126,0,0,0,3,0.12,0,0.56
798,0,0,0,1002,14911,0,0,0,3,0.16,0,0.48
799,0,0,0,1002,14519,0,0,0,3,0.16,0,0.52
800,0,0,0,1001.9,14126,0,0,0,3,0.16,0,0.56
846,0,0,0,1002,14911,0,0,0,3,0.2,0,0.48
847,0,0,0,1002,14519,0,0,0,3,0.2,0,0.52
848,0,0,0,1001.9,14126,0,0,0,3,0.2,0,0.56
894,0,0,0,1002,14911,0,0,0,3,0.24,0,0.48
895,0,0,0,1002,14519,0,0,0,3,0.24,0,0.52
896,0,0,0,1001.9,14126,0,0,0,3,0.24,0,0.56
942,0,0,0,1002,14911,0,0,0,3,0.28,0,0.48
943,0,0,0,1002,14519,0,0,0,3,0.28,0,0.52
944,0,0,0,1001.9,14126,0,0,0,3,0.28,0,0.56
990,0,0,0,1002,14911,0,0,0,3,0.32,0,0.48
991,0,0,0,1002,14519,0,0,0,3,0.32,0,0.52
992,0,0,0,1001.9,14126,0,0,0,3,0.32,0,0.56
1038,0,0,0,1002,14911,0,0,0,3,0.36,0,0.48
1039,0,0,0,1002,14519,0,0,0,3,0.36,0,0.52
1040,0,0,0,1001.9,14126,0,0,0,3,0.36,0,0.56
1086,0,0,0,1002,14911,0,0,0,3,0.4,0,0.48
1087,0,0,0,1002,14519,0,0,0,3,0.4,0,0.52
1088,0,0,0,1001.9,14126,0,0,0,3,0.4,0,0.56
1134,0,0,0,1002,14911,0,0,0,3,0.44,0,0.48
1135,0,0,0,1002,14519,0,0,0,3,0.44,0,0.52
1136,0,0,0,1001.9,14126,0,0,0,3,0.44,0,0.56
1182,0,0,0,1002,14911,0,0,0,3,0.48,0,0.48
1183,0,0,0,1002,14519,0,0,0,3,0.48,0,0.52
1184,0,0,0,1001.9,14126,0,0,0,3,0.48,0,0.56
1230,0,0,0,1002,14911,0,0,0,3,0.52,0,0.48
1231,0,0,0,1002,14519,0,0,0,3,0.52,0,0.52
1232,0,0,0,1001.9,14126,0,0,0,3,0.52,0,0.56
1278,0,0,0,1002,14911,0,0,0,3,0.56,0,0.48
1279,0,0,0,1002,14519,0,0,0,3,0.56,0,0.52
