"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Vol","Ace:0","Ace:1","Ace:2","Vor:0","Vor:1","Vor:2","Type","Mk","Points:0","Points:1","Points:2"
5118,0,0,0,1002.5,0.4,18835,0.00039902,-0.0024128,0,-57.979,0,0,0,3,1,0.8,0,0.08
5119,0,0,0,1002.4,0.4,18639,0.00039903,-0.0024106,0,-0.17247,0,0,0,3,1,0.8,0,0.1
5215,0,0,0,1002.5,0.4,19031,0.00039901,0,0,-416.37,0,0,0,3,1,0.82,0,0.06
5216,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,0.82,0,0.08
5217,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17246,0,0,0,3,1,0.82,0,0.1
5313,0,0,0,1002.5,0.4,19031,0.00039901,0.0021674,0,-416.37,0,0,0,3,1,0.84,0,0.06
5314,0,0,0,1002.5,0.4,18835,0.00039902,0.0024128,0,-57.979,0,0,0,3,1,0.84,0,0.08
5315,0,0,0,1002.4,0.4,18639,0.00039903,0.0024106,0,-0.17247,0,0,0,3,1,0.84,0,0.1
5411,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021674,0,-416.37,0,0,0,3,1,0.86,0,0.06
5412,0,0,0,1002.5,0.4,18835,0.00039902,-0.0024128,0,-57.979,0,0,0,3,1,0.86,0,0.08
5413,0,0,0,1002.4,0.4,18639,0.00039903,-0.0024106,0,-0.17247,0,0,0,3,1,0.86,0,0.1
5509,0,0,0,1002.5,0.4,19031,0.00039901,0,0,-416.37,0,0,0,3,1,0.88,0,0.06
5510,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,0.88,0,0.08
5511,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17246,0,0,0,3,1,0.88,0,0.1
5607,0,0,0,1002.5,0.4,19031,0.00039901,0.0021674,0,-416.37,0,0,0,3,1,0.9,0,0.06
5608,0,0,0,1002.5,0.4,18835,0.00039902,0.0024128,0,-57.979,0,0,0,3,1,0.9,0,0.08
5609,0,0,0,1002.4,0.4,18639,0.00039903,0.0024106,0,-0.17247,0,0,0,3,1,0.9,0,0.1
5705,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021674,0,-416.37,0,0,0,3,1,0.92,0,0.06
5706,0,0,0,1002.5,0.4,18835,0.00039902,-0.0024128,0,-57.979,0,0,0,3,1,0.92,0,0.08
5707,0,0,0,1002.4,0.4,18639,0.00039903,-0.0024106,0,-0.17247,0,0,0,3,1,0.92,0,0.1
5803,0,0,0,1002.5,0.4,19031,0.00039901,0,0,-416.37,0,0,0,3,1,0.94,0,0.06
5804,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,0.94,0,0.08
5805,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17246,0,0,0,3,1,0.94,0,0.1
5901,0,0,0,1002.5,0.4,19031,0.00039901,0.0021674,0,-416.37,0,0,0,3,1,0.96,0,0.06
5902,0,0,0,1002.5,0.4,18835,0.00039902,0.0024128,0,-57.979,0,0,0,3,1,0.96,0,0.08
5903,0,0,0,1002.4,0.4,18639,0.00039903,0.0024106,0,-0.17247,0,0,0,3,1,0.96,0,0.1
5999,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021674,0,-416.37,0,0,0,3,1,0.98,0,0.06
6000,0,0,0,1002.5,0.4,18835,0.00039902,-0.0024128,0,-57.979,0,0,0,3,1,0.98,0,0.08
6001,0,0,0,1002.4,0.4,18639,0.00039903,-0.0024106,0,-0.17247,0,0,0,3,1,0.98,0,0.1
6097,0,0,0,1002.5,0.4,19031,0.00039901,-0.0010517,0,-416.37,0,0,0,3,1,1,0,0.06
6098,0,0,0,1002.5,0.4,18835,0.00039902,-0.001186,0,-57.979,0,0,0,3,1,1,0,0.08
